source_fold,target_fold,rule_type,selected_feature,orientation,threshold,source_switched_count,source_rescue_count,source_harm_count,source_net_gain,source_switch_precision,switched_count,rescue_count,harm_count,net_gain,switch_precision,high_auc,high_accuracy,high_macro_f1,selective_auc,selective_accuracy,selective_macro_f1,delta_auc,delta_accuracy,delta_macro_f1
0,1,always_high,,none,,0,0,0,0,0.0,0,0,0,0,0.0,0.9890703960512398,0.9639175257731959,0.95966376570529,0.9890703960512398,0.9639175257731959,0.95966376570529,0.0,0.0,0.0
1,0,threshold,margin_delta,ge,1.5802955627441335,3,2,1,1,0.6666666666666666,4,0,4,-4,0.0,0.9698153409090909,0.9432989690721649,0.937077989090373,0.9425899621212122,0.9226804123711341,0.9141972578505086,-0.027225378787878785,-0.020618556701030855,-0.022880731239864338
