fold,alpha,auc,accuracy,macro_f1,diagnostic_only,is_best_auc,is_best_accuracy,is_best_macro_f1
0,0.0,0.9209280303030303,0.8556701030927835,0.8380441264162195,True,False,False,False
0,0.1,0.9303977272727273,0.8608247422680413,0.8432252850857502,True,False,False,False
0,0.2,0.939157196969697,0.8762886597938144,0.861180679785331,True,False,False,False
0,0.30000000000000004,0.9460227272727273,0.8865979381443299,0.8727489564698867,True,False,False,False
0,0.4,0.9538352272727273,0.8865979381443299,0.8746033611470208,True,False,False,False
0,0.5,0.9589251893939394,0.8969072164948454,0.8851799242424243,True,False,False,False
0,0.6000000000000001,0.9647253787878787,0.9123711340206185,0.9027568922305764,True,False,False,False
0,0.7000000000000001,0.9686316287878788,0.9175257731958762,0.9088024444705606,True,False,False,False
0,0.8,0.9707623106060606,0.9226804123711341,0.9141972578505086,True,False,False,False
0,0.9,0.971472537878788,0.9278350515463918,0.9202021389117405,True,True,False,False
0,1.0,0.9698153409090909,0.9432989690721649,0.937077989090373,True,False,True,True
